Datetime,NOx (ppb),SO2 (ug/m3),CO (mg/m3),Ozone (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),NH3 (ug/m3)
2019-11-01 20:00:00,11.05,12.15,0.53,23.98,29.25,9.75,6.4
2019-11-01 21:00:00,11.75,13.3,0.57,19.5,32.75,14.0,6.6
2019-11-01 22:00:00,17.32,12.12,0.65,11.88,50.5,19.0,5.8
2019-11-01 23:00:00,18.03,13.05,0.6,12.4,62.25,17.25,7.65
2019-11-02 00:00:00,21.57,13.28,0.6,9.85,41.0,13.75,6.3
2019-11-02 01:00:00,16.42,12.93,0.6,9.75,35.0,9.75,5.97
2019-11-02 02:00:00,15.25,12.33,0.64,8.55,30.25,9.0,6.05
2019-11-02 03:00:00,14.8,10.9,0.63,8.7,39.5,9.5,6.1
2019-11-02 04:00:00,13.55,11.72,0.65,13.05,30.75,10.25,6.0
2019-11-02 05:00:00,18.2,11.93,0.64,6.2,34.0,8.0,6.08
2019-11-02 06:00:00,21.27,11.55,0.72,6.45,33.0,10.5,5.97
2019-11-02 07:00:00,22.12,11.07,0.66,6.58,46.75,16.25,6.3
2019-11-02 08:00:00,19.12,12.18,0.55,10.47,42.5,11.75,6.3
2019-11-02 09:00:00,13.05,11.97,0.54,18.88,37.5,13.25,6.42
2019-11-02 10:00:00,9.4,11.22,0.55,37.0,29.0,11.0,6.8
2019-11-02 11:00:00,7.0,11.73,0.46,47.62,34.5,11.25,7.12
2019-11-02 12:00:00,6.3,11.3,0.24,51.5,34.5,13.75,7.25
2019-11-02 13:00:00,16.9,11.8,0.56,55.4,39.5,20.0,7.88
2019-11-02 14:00:00,5.7,13.45,0.61,58.55,41.0,24.5,8.07
2019-11-02 15:00:00,7.03,12.75,0.65,61.35,43.0,29.0,8.28
2019-11-02 16:00:00,6.57,12.88,0.6,57.58,47.75,29.0,8.35
2019-11-02 17:00:00,6.5,12.98,0.59,56.02,45.75,30.0,8.45
2019-11-02 18:00:00,7.53,11.02,0.67,44.5,50.5,33.0,8.48
2019-11-02 19:00:00,8.93,11.65,0.65,35.08,48.0,31.25,8.28
2019-11-02 20:00:00,10.03,10.15,0.69,29.98,44.75,25.75,7.88
2019-11-02 21:00:00,14.43,8.75,0.74,30.87,44.75,26.25,7.58
2019-11-02 22:00:00,9.12,6.9,0.59,43.85,42.5,26.75,7.92
2019-11-02 23:00:00,9.52,9.7,0.62,38.15,31.75,18.25,7.15
2019-11-03 00:00:00,11.55,14.75,0.61,30.75,41.5,20.25,6.93
2019-11-03 01:00:00,12.32,13.05,0.58,19.95,48.0,16.0,6.62
2019-11-03 02:00:00,13.38,13.88,0.56,19.62,51.5,19.0,7.47
2019-11-03 03:00:00,8.2,12.7,0.55,22.6,40.0,18.25,6.97
2019-11-03 04:00:00,11.7,13.62,0.59,23.92,35.0,17.0,7.15
2019-11-03 05:00:00,18.85,12.85,0.6,13.0,55.5,19.25,6.55
2019-11-03 06:00:00,8.62,12.1,0.57,17.38,49.5,17.25,7.17
2019-11-03 07:00:00,9.62,12.38,0.59,12.35,39.0,18.25,7.3
2019-11-03 08:00:00,13.15,13.3,0.59,16.95,48.5,20.0,7.75
2019-11-03 09:00:00,10.25,10.1,0.55,30.2,50.75,24.75,7.95
2019-11-03 10:00:00,6.85,11.58,0.55,49.65,53.75,30.5,9.47
2019-11-03 11:00:00,6.45,16.02,0.61,74.18,64.75,38.0,10.23
2019-11-03 12:00:00,6.5,11.47,0.33,85.78,91.25,57.5,10.95
2019-11-03 13:00:00,16.18,9.8,0.66,93.0,93.75,63.75,11.82
2019-11-03 14:00:00,6.7,10.7,0.68,103.12,99.0,68.0,11.57
2019-11-03 15:00:00,6.95,13.72,0.62,92.67,97.75,64.0,11.55
2019-11-03 16:00:00,9.2,27.35,0.61,85.3,92.25,61.0,11.05
2019-11-03 17:00:00,7.95,11.4,0.61,78.03,86.25,60.0,10.62
2019-11-03 18:00:00,15.07,4.3,0.79,59.62,86.75,57.25,9.4
2019-11-03 19:00:00,11.93,10.43,0.76,55.5,97.5,59.5,11.18
2019-11-03 20:00:00,11.25,10.43,0.84,48.15,107.0,64.75,11.28
2019-11-03 21:00:00,21.88,10.4,1.12,30.28,116.5,69.5,9.9
2019-11-03 22:00:00,27.92,9.23,1.13,13.17,125.75,76.25,11.2
2019-11-03 23:00:00,27.0,9.68,0.89,23.43,117.75,71.5,10.8
2019-11-04 00:00:00,15.15,8.98,0.79,25.8,101.25,63.5,10.95
2019-11-04 01:00:00,10.6,10.3,0.71,22.67,88.75,60.75,10.32
2019-11-04 02:00:00,13.32,14.0,0.73,15.07,92.0,58.0,10.12
2019-11-04 03:00:00,11.77,21.12,0.58,18.95,106.0,59.25,9.3
2019-11-04 04:00:00,10.2,16.23,0.59,34.38,83.5,53.75,8.6
2019-11-04 05:00:00,22.73,23.6,0.7,17.68,85.25,54.0,9.7
2019-11-04 06:00:00,12.4,24.15,0.69,11.32,98.5,57.5,9.72
2019-11-04 07:00:00,16.38,15.0,0.72,9.05,88.5,58.0,9.65
2019-11-04 08:00:00,15.07,14.0,0.68,13.9,108.0,55.0,9.82
2019-11-04 09:00:00,13.23,1.2,0.7,31.65,108.75,56.0,9.95
2019-11-04 10:00:00,8.95,1.57,0.62,48.08,114.25,58.0,9.85
2019-11-04 11:00:00,7.25,6.32,0.55,60.78,88.0,46.0,8.85
2019-11-04 12:00:00,7.15,18.67,0.22,64.15,72.75,40.0,10.6
2019-11-04 13:00:00,22.05,27.7,0.48,63.03,72.25,34.0,15.68
2019-11-04 14:00:00,11.2,,0.53,72.95,82.25,,10.9
2019-11-04 15:00:00,15.85,48.2,0.6,81.65,87.0,50.5,12.05
2019-11-04 16:00:00,16.12,36.62,0.74,80.4,100.5,54.0,13.25
2019-11-04 17:00:00,15.15,16.65,0.58,66.35,103.5,57.75,15.77
2019-11-04 18:00:00,11.62,18.42,0.77,67.95,98.75,51.0,10.28
2019-11-04 19:00:00,13.38,18.73,0.88,55.33,100.5,52.0,10.03
2019-11-04 20:00:00,26.17,17.45,1.0,29.77,123.25,61.0,10.35
2019-11-04 21:00:00,29.45,20.0,0.9,37.05,164.0,79.25,10.6
2019-11-04 22:00:00,17.32,17.43,0.84,41.3,142.75,75.5,10.78
2019-11-04 23:00:00,13.85,15.05,0.82,35.68,123.0,70.75,10.55
2019-11-05 00:00:00,12.1,15.18,0.76,38.67,120.0,70.0,10.15
2019-11-05 01:00:00,13.55,17.0,0.83,19.23,124.0,73.5,9.95
2019-11-05 02:00:00,13.55,16.93,0.71,22.9,140.0,72.5,9.93
2019-11-05 03:00:00,12.12,16.83,0.7,21.85,138.75,75.25,9.78
2019-11-05 04:00:00,11.12,16.52,0.65,34.05,117.75,76.75,9.75
2019-11-05 05:00:00,7.7,14.4,0.63,25.95,92.5,69.25,9.57
2019-11-05 06:00:00,7.1,13.2,0.67,23.48,90.0,65.5,9.67
2019-11-05 07:00:00,7.25,11.5,0.67,18.27,88.25,62.0,9.67
2019-11-05 08:00:00,9.1,12.9,0.67,21.52,96.0,64.75,10.25
2019-11-05 09:00:00,7.78,14.5,0.74,33.4,106.5,65.0,10.05
2019-11-05 10:00:00,7.62,8.95,0.7,47.93,102.25,67.75,10.12
2019-11-05 11:00:00,13.9,32.03,0.72,55.95,111.75,69.25,10.22
2019-11-05 12:00:00,17.8,52.72,0.35,72.5,143.75,78.0,11.3
2019-11-05 13:00:00,101.05,175.4,0.81,51.05,171.0,89.0,11.95
2019-11-05 14:00:00,36.65,100.2,0.84,82.42,172.5,91.0,15.78
2019-11-05 15:00:00,18.68,44.15,0.81,85.08,138.0,79.5,12.68
2019-11-05 16:00:00,14.2,16.95,0.82,72.12,111.0,69.75,10.97
2019-11-05 17:00:00,15.8,16.98,0.93,70.68,114.5,64.0,11.4
2019-11-05 18:00:00,12.28,16.05,1.06,64.57,129.25,69.0,12.68
2019-11-05 19:00:00,26.25,18.65,1.11,36.5,158.25,78.75,11.93
2019-11-05 20:00:00,23.12,17.7,0.95,38.0,201.5,89.75,12.62
2019-11-05 21:00:00,24.47,15.25,1.08,29.4,186.5,89.5,12.97
2019-11-05 22:00:00,26.52,15.23,1.29,18.23,206.5,107.25,12.53
2019-11-05 23:00:00,21.88,18.15,1.1,26.85,237.25,145.75,13.03
2019-11-06 00:00:00,15.0,16.12,0.92,31.65,163.0,106.0,11.93
2019-11-06 01:00:00,10.65,12.72,0.94,25.9,124.0,80.0,11.55
2019-11-06 02:00:00,9.18,11.38,0.85,21.23,118.0,83.0,11.12
2019-11-06 03:00:00,8.53,11.8,0.83,20.55,136.25,80.25,11.3
2019-11-06 04:00:00,12.03,11.43,0.77,27.47,125.75,80.25,11.28
2019-11-06 05:00:00,13.3,11.62,0.84,18.6,144.5,92.0,11.55
2019-11-06 06:00:00,14.05,8.93,0.84,16.4,160.5,102.5,11.82
2019-11-06 07:00:00,21.1,13.72,0.97,13.12,149.25,96.0,11.17
2019-11-06 08:00:00,23.27,13.62,1.04,17.6,166.25,104.75,11.73
2019-11-06 09:00:00,13.82,7.62,0.93,40.33,143.0,92.75,12.2
2019-11-06 10:00:00,8.47,8.28,0.94,53.85,144.25,86.5,12.67
2019-11-06 11:00:00,9.57,7.88,0.97,64.95,147.75,87.75,13.1
2019-11-06 12:00:00,10.7,37.7,0.78,72.22,147.5,86.25,12.95
2019-11-06 13:00:00,16.58,45.75,0.75,80.08,145.25,83.0,16.25
2019-11-06 14:00:00,15.1,63.6,0.74,77.9,139.25,81.0,14.45
2019-11-06 15:00:00,19.23,54.48,0.8,78.15,155.75,85.75,14.72
2019-11-06 16:00:00,14.1,45.9,0.74,80.6,158.0,91.0,18.8
2019-11-06 17:00:00,9.6,30.75,0.83,76.28,160.25,84.0,14.5
2019-11-06 18:00:00,8.95,23.45,0.78,64.7,150.25,82.0,12.68
2019-11-06 19:00:00,34.7,15.3,1.18,24.55,156.5,86.5,11.88
2019-11-06 20:00:00,30.32,12.53,0.99,31.2,159.75,90.5,13.5
2019-11-06 21:00:00,18.48,11.85,0.97,32.8,148.0,89.5,13.43
2019-11-06 22:00:00,17.67,11.35,0.98,27.42,153.75,94.5,13.85
2019-11-06 23:00:00,14.97,10.12,0.89,27.8,158.75,103.0,13.6
2019-11-07 00:00:00,15.82,11.0,0.92,26.52,148.0,96.0,12.85
2019-11-07 01:00:00,12.8,11.8,0.85,34.78,143.25,91.5,12.43
2019-11-07 02:00:00,15.45,9.15,0.86,31.23,138.0,87.0,12.2
2019-11-07 03:00:00,21.12,9.22,0.94,22.85,146.0,92.75,11.22
2019-11-07 04:00:00,15.75,8.58,0.91,24.5,159.5,102.5,11.62
2019-11-07 05:00:00,20.1,7.05,0.95,9.88,156.25,98.25,12.1
2019-11-07 06:00:00,17.23,7.78,0.9,11.33,154.75,97.25,12.2
2019-11-07 07:00:00,18.3,9.15,0.94,13.0,141.25,91.25,12.05
2019-11-07 08:00:00,17.73,9.78,0.96,18.5,143.75,87.75,12.2
2019-11-07 09:00:00,11.73,9.78,0.94,36.47,131.5,85.25,12.68
2019-11-07 10:00:00,11.95,1.2,0.99,47.82,139.5,91.25,13.3
2019-11-07 11:00:00,10.57,1.35,0.95,69.62,154.0,95.25,13.9
2019-11-07 12:00:00,11.15,65.35,5.3,76.38,136.25,85.75,14.6
