Datetime,CO (mg/m3),NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3)
2019-11-07 17:00:00,1.0,28.58,67.38,66.0,3.8
2019-11-07 18:00:00,1.08,31.97,45.49,,2.34
2019-11-07 19:00:00,1.04,30.24,35.73,82.04,6.19
2019-11-07 20:00:00,1.2,30.56,26.34,126.03,4.51
2019-11-07 21:00:00,1.53,32.75,18.34,124.91,4.4
2019-11-07 22:00:00,1.55,35.42,21.23,128.01,4.79
2019-11-07 23:00:00,1.56,36.42,25.77,128.99,6.0
2019-11-08 00:00:00,1.27,33.58,24.19,147.93,7.11
2019-11-08 01:00:00,1.46,28.75,16.13,148.96,7.71
2019-11-08 02:00:00,1.47,40.02,14.66,148.96,5.43
2019-11-08 03:00:00,1.37,30.73,27.89,148.96,5.49
2019-11-08 04:00:00,1.28,28.87,21.63,148.96,6.04
2019-11-08 05:00:00,1.05,28.66,43.0,148.96,7.03
2019-11-08 06:00:00,1.06,30.17,34.91,142.41,7.32
2019-11-08 07:00:00,1.21,36.46,25.43,154.16,7.29
2019-11-08 08:00:00,1.05,28.59,17.43,166.51,4.95
2019-11-08 09:00:00,1.18,26.81,23.05,174.52,4.01
2019-11-08 10:00:00,1.36,27.71,31.73,165.84,3.71
2019-11-08 11:00:00,1.27,30.3,39.49,130.46,3.8
2019-11-08 12:00:00,1.24,29.2,57.65,157.97,5.17
2019-11-08 13:00:00,1.07,29.61,69.5,129.09,7.18
2019-11-08 14:00:00,1.06,30.11,73.76,124.72,4.38
2019-11-08 15:00:00,1.1,29.37,68.23,106.85,4.15
2019-11-08 16:00:00,0.98,28.37,71.11,79.81,4.1
2019-11-08 17:00:00,1.28,28.43,73.15,,8.82
2019-11-08 18:00:00,1.29,27.79,76.27,,11.35
2019-11-08 19:00:00,1.03,17.44,40.24,18.62,6.64
2019-11-08 20:00:00,1.36,27.31,26.61,94.34,5.79
2019-11-08 21:00:00,1.34,23.87,23.02,118.2,1.78
2019-11-08 22:00:00,1.52,24.9,13.99,112.31,0.37
2019-11-08 23:00:00,1.47,24.7,20.96,111.23,0.04
2019-11-09 00:00:00,1.43,24.96,29.73,109.93,
2019-11-09 01:00:00,1.36,24.8,30.55,110.59,
2019-11-09 02:00:00,0.87,24.11,28.75,103.05,
2019-11-09 03:00:00,0.88,23.76,35.05,90.66,4.19
2019-11-09 04:00:00,0.88,22.64,31.86,80.54,4.26
2019-11-09 05:00:00,0.91,22.56,28.83,50.11,3.92
2019-11-09 06:00:00,0.94,26.36,18.28,59.36,3.89
2019-11-09 07:00:00,1.08,44.86,18.98,91.05,4.03
2019-11-09 08:00:00,1.0,27.75,42.35,86.98,3.83
2019-11-09 09:00:00,1.04,25.24,52.43,86.62,4.14
2019-11-09 10:00:00,1.26,24.49,42.94,77.53,3.84
2019-11-09 11:00:00,1.22,23.16,51.22,89.91,3.02
2019-11-09 12:00:00,1.21,25.31,69.49,101.48,3.77
2019-11-09 13:00:00,1.19,21.17,82.16,123.54,4.26
2019-11-09 14:00:00,1.25,23.02,94.21,112.21,4.48
2019-11-09 15:00:00,1.2,24.66,55.44,130.91,4.59
2019-11-09 16:00:00,1.37,25.66,21.83,105.75,4.88
2019-11-09 17:00:00,1.24,24.37,29.44,108.86,4.71
2019-11-09 18:00:00,1.45,24.66,28.93,109.75,4.96
2019-11-09 19:00:00,1.62,24.82,16.05,116.3,6.42
2019-11-09 20:00:00,1.64,23.95,15.29,133.46,5.88
2019-11-09 21:00:00,1.53,20.94,17.16,113.82,4.13
2019-11-09 22:00:00,1.29,20.41,14.5,130.09,4.63
2019-11-09 23:00:00,1.25,22.78,12.24,99.53,5.64
2019-11-10 00:00:00,1.49,40.58,7.92,111.78,7.24
2019-11-10 01:00:00,1.12,36.66,10.66,103.73,7.64
2019-11-10 02:00:00,1.25,28.93,12.31,91.66,7.94
2019-11-10 03:00:00,1.26,27.44,10.01,112.27,5.18
2019-11-10 04:00:00,1.25,27.86,9.32,104.99,5.18
2019-11-10 05:00:00,1.2,26.63,9.11,98.2,5.29
2019-11-10 06:00:00,0.98,27.95,8.47,99.86,5.3
2019-11-10 07:00:00,0.98,27.69,8.42,105.07,4.98
2019-11-10 08:00:00,0.96,26.78,9.45,92.37,4.87
2019-11-10 09:00:00,0.89,21.42,20.52,97.28,4.19
2019-11-10 10:00:00,1.09,20.62,36.89,98.29,3.35
2019-11-10 11:00:00,1.15,20.77,51.86,65.91,2.61
2019-11-10 12:00:00,1.19,25.77,61.31,83.3,3.28
2019-11-10 13:00:00,1.32,27.6,64.98,78.87,3.72
2019-11-10 14:00:00,1.12,24.78,64.96,87.53,4.59
2019-11-10 15:00:00,1.16,26.06,62.48,86.6,4.58
2019-11-10 16:00:00,1.2,31.19,61.51,105.16,3.39
2019-11-10 17:00:00,1.23,24.28,50.21,127.34,3.29
2019-11-10 18:00:00,1.17,26.1,34.08,125.51,2.48
2019-11-10 19:00:00,1.02,27.62,16.38,140.26,5.43
2019-11-10 20:00:00,1.08,29.22,7.29,112.16,6.27
2019-11-10 21:00:00,1.1,29.99,5.85,99.97,6.43
2019-11-10 22:00:00,1.61,34.8,5.6,111.35,9.48
2019-11-10 23:00:00,2.01,54.63,3.7,117.98,13.26
2019-11-11 00:00:00,1.84,58.14,6.72,129.32,17.34
2019-11-11 01:00:00,1.44,34.79,5.48,108.94,22.25
2019-11-11 02:00:00,1.28,31.31,4.99,108.49,29.53
2019-11-11 03:00:00,1.15,24.63,7.56,93.22,8.09
2019-11-11 04:00:00,1.01,21.45,9.26,87.53,13.18
