City,Station_ID,Station_Name
Meerut,site_5109,"Jai Bhim Nagar, Meerut - UPPCB"
Meerut,site_5257,"Pallavpuram Phase 2, Meerut - UPPCB"
Meerut,site_5258,"Ganga Nagar, Meerut - UPPCB"
Moradabad,site_1398,"Lajpat Nagar, Moradabad - UPPCB"
Mumbai,site_168,"Bandra, Mumbai - MPCB"
Mumbai,site_5102,"Vasai West, Mumbai - MPCB"
Mumbai,site_5104,"Kurla, Mumbai - MPCB"
Mumbai,site_5106,"Vile Parle West, Mumbai - MPCB"
Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB"
Mumbai,site_5112,"Powai, Mumbai - MPCB"
Mumbai,site_5113,"Borivali East, Mumbai - MPCB"
Mumbai,site_5115,"Worli, Mumbai - MPCB"
Mumbai,site_5119,"Sion, Mumbai - MPCB"
Mumbai,site_5120,"Colaba, Mumbai - MPCB"
Muzaffarnagar,site_1550,"New Mandi, Muzaffarnagar - UPPCB"
Muzaffarpur,site_158,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB"
Muzaffarpur,site_5370,"Buddha Colony, Muzaffarpur - BSPCB"
Mysuru,site_5125,"Hebbal 1st Stage, Mysuru - KSPCB"
Nagpur,site_303,"Opp GPO Civil Lines, Nagpur - MPCB"
Nandesari,site_5274,"GIDC, Nandesari - Nandesari Ind. Association"
Narnaul,site_5053,"Shastri Nagar, Narnaul - HSPCB"
Nashik,site_304,"Gangapur Road, Nashik - MPCB"
Navi Mumbai,site_261,"Airoli, Navi Mumbai - MPCB"
Navi Mumbai,site_5103,"Nerul, Navi Mumbai - MPCB"
Navi Mumbai,site_5114,"Mahape, Navi Mumbai - MPCB"
Noida,site_111,"Sector - 62, Noida - IMD"
Noida,site_153,"Sector - 125, Noida - UPPCB"
Noida,site_5122,"Sector-116, Noida - UPPCB"
Noida,site_5123,"Sector-1, Noida - UPPCB"
Pali,site_1395,"Indira Colony Vistar, Pali - RSPCB"
Palwal ,site_5050,"Shyam Nagar, Palwal - HSPCB"
Panchkula,site_161,"Sector-6, Panchkula - HSPCB "
Panipat,site_5048,"Sector-18, Panipat - HSPCB"
Patiala,site_1437,"Model Town, Patiala - PPCB"
Patna,site_157,"IGSC Planetarium Complex, Patna - BSPCB"
Patna,site_5261,"Muradpur, Patna - BSPCB"
Patna,site_5262,"Rajbansi Nagar, Patna - BSPCB"
Patna,site_5263,"Samanpura, Patna - BSPCB"
Patna,site_5335,"Govt. High School Shikarpur, Patna - BSPCB"
Patna,site_5336,"DRM Office Danapur, Patna - BSPCB"
Pithampur,site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB"
Pune,site_292,"Karve Road, Pune - MPCB"
Rajamahendravaram,site_1399,"Anand Kala Kshetram, Rajamahendravaram - APPCB"
Ramanagara,site_5255,"Vijay Nagar, Ramanagara - KSPCB"
Ratlam,site_5042,"Shasthri Nagar, Ratlam - IPCA Lab"
Rohtak,site_147,"MD University, Rohtak - HSPCB"
Rupnagar,site_1538,"Ratanpura, Rupnagar - Ambuja Cements"
Sagar,site_5269,"Deen Dayal Nagar, Sagar - MPPCB"
Satna,site_1433,"Bandhavgar Colony, Satna - Birla Cement"
Shillong,site_5131,"Lumpyngngad, Shillong - Meghalaya PCB"
Siliguri,site_1419,"Ward-32 Bapupara, Siliguri - WBPCB"
Singrauli,site_1401,"Vindhyachal STPS, Singrauli - MPPCB"
Sirsa ,site_5051,"F-Block, Sirsa - HSPCB"
Solapur,site_302,"Solapur, Solapur - MPCB"
Sonipat,site_5041,"Murthal, Sonipat - HSPCB"
Talcher,site_1408,"Talcher Coalfields,Talcher - OSPCB"
Thane,site_305,"Pimpleshwar Mandir, Thane - MPCB"
Thiruvananthapuram,site_252,"Plammoodu, Thiruvananthapuram - Kerala PCB"
Thiruvananthapuram,site_5331,"Kariavattom, Thiruvananthapuram - Kerala PCB"
Thrissur,site_5390,"Corporation Ground, Thrissur- Kerala PCB"
Tirupati,site_258,"Tirumala, Tirupati - APPCB"
Udaipur,site_1397,"Ashok Nagar, Udaipur - RSPCB"
Ujjain,site_1400,"Mahakaleshwar Temple, Ujjain - MPPCB"
Vapi,site_5071,"Phase-1 GIDC, Vapi - GPCB"
Varanasi,site_273,"Ardhali Bazar, Varanasi - UPPCB"
Vatva,site_5067,"Phase-4 GIDC, Vatva - GPCB"
Vijayapura,site_5267,"Ibrahimpur, Vijayapura - KSPCB"
Vijayawada,site_257,"PWD Grounds, Vijayawada - APPCB"
Visakhapatnam,site_260,"GVM Corporation, Visakhapatnam - APPCB"
Yadgir,site_5254,"Collector Office, Yadgir - KSPCB"
Yamunanagar,site_5046,"Gobind Pura, Yamuna Nagar - HSPCB"
