Date,City,AQI
2015-05-20,Ujjain,
2015-05-21,Pithampur,
2015-05-21,Ujjain,
2015-05-22,Pithampur,
2015-05-22,Ujjain,
2015-05-23,Pithampur,
2015-05-23,Ujjain,
2015-05-24,Pithampur,
2015-05-24,Ujjain,
2015-05-25,Pithampur,
2015-05-25,Ujjain,
2015-05-26,Pithampur,
2015-05-26,Ujjain,
2015-05-27,Pithampur,
2015-05-27,Ujjain,
2015-05-28,Pithampur,
2015-05-28,Ujjain,
2015-05-29,Pithampur,
2015-05-29,Ujjain,
2015-05-30,Pithampur,
2015-05-30,Ujjain,
2015-05-31,Pithampur,
2015-05-31,Ujjain,
2015-06-01,Pithampur,
2015-06-01,Ujjain,
2015-06-02,Pithampur,
2015-06-02,Ujjain,
2015-06-03,Pithampur,
2015-06-03,Ujjain,
2015-06-04,Pithampur,
2015-06-04,Ujjain,
2015-06-05,Pithampur,
2015-06-05,Ujjain,
2015-06-06,Pithampur,
2015-06-06,Ujjain,
2015-06-07,Pithampur,
2015-06-07,Ujjain,
2015-06-08,Pithampur,
2015-06-08,Ujjain,
2015-06-09,Pithampur,
2015-06-09,Ujjain,
2015-06-10,Pithampur,
2015-06-10,Ujjain,
2015-06-11,Pithampur,
2015-06-11,Ujjain,
2015-06-12,Pithampur,
2015-06-12,Ujjain,
2015-06-13,Pithampur,
2015-06-13,Ujjain,
2015-06-14,Pithampur,
2015-06-14,Ujjain,
2015-06-15,Pithampur,
2015-06-15,Ujjain,
2015-06-16,Pithampur,
2015-06-16,Ujjain,
2015-06-17,Pithampur,
2015-06-17,Ujjain,
2015-06-18,Pithampur,
2015-06-18,Ujjain,
2015-06-19,Pithampur,
2015-06-19,Ujjain,
2015-06-20,Pithampur,
2015-06-20,Ujjain,
2015-06-21,Pithampur,
2015-06-21,Ujjain,
2015-06-22,Pithampur,
2015-06-22,Ujjain,
2015-06-23,Pithampur,
2015-06-23,Ujjain,
2015-06-24,Pithampur,
2015-06-24,Ujjain,
2015-06-25,Pithampur,
2015-06-25,Ujjain,
2015-06-26,Pithampur,
2015-06-26,Ujjain,
2015-06-27,Pithampur,
2015-06-27,Ujjain,
2015-06-28,Pithampur,
2015-06-28,Ujjain,
2015-06-29,Pithampur,
2015-06-29,Ujjain,
2015-06-30,Pithampur,
2015-06-30,Ujjain,
2015-07-01,Pithampur,
2015-07-01,Ujjain,
2015-07-02,Pithampur,
2015-07-02,Ujjain,
2015-07-03,Pithampur,
2015-07-03,Ujjain,
2015-07-04,Pithampur,
2015-07-04,Ujjain,
2015-07-05,Pithampur,
2015-07-05,Ujjain,
2015-07-06,Pithampur,
2015-07-06,Ujjain,
2015-07-07,Pithampur,
2015-07-07,Ujjain,
2015-07-08,Pithampur,
2015-07-08,Ujjain,
2015-07-09,Pithampur,
2015-07-09,Ujjain,
2015-07-10,Pithampur,
2015-07-10,Ujjain,
2015-07-11,Pithampur,
2015-07-11,Ujjain,
2015-07-12,Pithampur,
2015-07-12,Ujjain,
2015-07-13,Pithampur,
2015-07-13,Ujjain,
2015-07-14,Pithampur,
2015-07-14,Ujjain,
2015-07-15,Pithampur,
2015-07-15,Ujjain,
2015-07-16,Pithampur,
2015-07-16,Ujjain,
2015-07-17,Pithampur,
2015-07-17,Ujjain,
2015-07-18,Pithampur,
2015-07-18,Ujjain,
2015-07-19,Pithampur,
2015-07-19,Ujjain,
2015-07-20,Pithampur,
2015-07-20,Ujjain,
2015-07-21,Pithampur,
2015-07-21,Ujjain,
2015-07-22,Pithampur,
2015-07-22,Ujjain,
2015-07-23,Pithampur,
2015-07-23,Ujjain,
2015-07-24,Pithampur,
2015-07-24,Ujjain,
2015-07-25,Pithampur,
2015-07-25,Ujjain,
2015-07-26,Pithampur,
2015-07-26,Ujjain,
2015-07-27,Pithampur,
2015-07-27,Ujjain,
2015-07-28,Pithampur,
2015-07-28,Ujjain,
2015-07-29,Pithampur,
2015-07-29,Ujjain,
2015-07-30,Pithampur,
2015-07-30,Ujjain,
2015-07-31,Pithampur,
2015-07-31,Ujjain,
2015-08-01,Pithampur,
2015-08-01,Ujjain,
2015-08-02,Pithampur,
2015-08-02,Ujjain,
2015-08-03,Pithampur,
2015-08-03,Ujjain,
2015-08-04,Pithampur,
2015-08-04,Ujjain,
2015-08-05,Pithampur,
2015-08-05,Ujjain,
2015-08-06,Pithampur,
