Datetime,NOx (ppb),Ozone (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),CO (mg/m3),PM10 (ug/m3),NH3 (ug/m3)
2020-08-14 10:00:00,9.28,35.85,35.84,7.24,0.75,57.58,35.92
2020-08-14 11:00:00,9.74,34.2,41.3,8.54,0.74,55.77,35.51
2020-08-14 12:00:00,9.85,34.58,44.52,7.75,0.74,68.55,35.41
2020-08-14 13:00:00,10.01,41.27,42.45,9.81,0.74,79.96,35.41
2020-08-14 14:00:00,9.31,32.3,37.33,8.04,0.75,69.05,35.95
2020-08-14 15:00:00,10.77,38.7,31.25,10.28,0.74,62.01,35.0
2020-08-14 16:00:00,11.51,45.79,36.27,8.49,0.73,60.32,35.27
2020-08-14 17:00:00,11.3,45.7,31.59,10.34,0.75,61.89,34.8
2020-08-14 18:00:00,12.48,46.81,21.93,8.57,0.66,55.17,34.33
2020-08-14 19:00:00,13.74,43.74,31.96,10.3,0.55,51.2,33.48
2020-08-14 20:00:00,14.41,42.86,34.94,7.14,0.54,66.06,32.64
2020-08-14 21:00:00,14.54,41.35,37.14,8.21,0.55,63.0,32.69
2020-08-14 22:00:00,15.02,41.59,38.67,7.08,0.55,62.16,31.01
2020-08-14 23:00:00,15.61,41.19,46.28,8.64,0.54,71.75,30.67
2020-08-15 00:00:00,13.44,41.26,44.6,6.52,0.54,85.29,32.17
2020-08-15 01:00:00,13.38,42.16,41.28,6.88,0.54,78.09,33.43
2020-08-15 02:00:00,11.18,42.12,43.77,6.97,0.55,69.06,36.57
2020-08-15 03:00:00,12.3,44.43,35.53,7.15,0.55,64.66,37.61
2020-08-15 04:00:00,15.33,44.49,23.76,7.45,0.54,59.91,37.72
2020-08-15 05:00:00,10.87,44.3,15.36,6.56,0.54,51.38,37.66
2020-08-15 06:00:00,10.01,43.81,10.44,7.03,0.54,48.2,37.55
2020-08-15 07:00:00,9.99,43.78,13.04,7.06,0.54,49.66,36.97
2020-08-15 08:00:00,10.24,43.22,21.2,6.88,0.54,62.19,36.52
2020-08-15 09:00:00,9.6,44.44,31.95,6.99,0.53,60.26,36.78
2020-08-15 10:00:00,8.54,44.55,40.14,5.88,0.55,67.38,37.38
2020-08-15 11:00:00,8.29,45.07,38.43,6.27,0.53,69.85,37.73
2020-08-15 12:00:00,8.34,46.47,32.39,8.75,0.53,75.06,38.5
2020-08-15 13:00:00,8.17,47.15,36.67,10.84,0.56,70.34,39.1
2020-08-15 14:00:00,8.38,49.24,39.97,7.55,0.53,64.47,38.88
2020-08-15 15:00:00,8.91,49.68,30.68,10.11,0.54,61.2,38.47
2020-08-15 16:00:00,9.05,47.69,27.5,8.39,0.54,59.6,38.29
2020-08-15 17:00:00,8.86,44.78,24.14,5.32,0.54,56.58,38.42
2020-08-15 18:00:00,8.78,48.27,18.19,7.81,0.53,53.45,38.45
2020-08-15 19:00:00,10.28,45.22,21.42,12.67,0.54,56.49,38.19
2020-08-15 20:00:00,22.17,43.98,20.55,16.21,0.54,58.09,36.71
2020-08-15 21:00:00,63.56,44.33,17.01,37.43,0.54,45.36,39.4
2020-08-15 22:00:00,33.76,41.15,16.87,2.92,0.53,30.33,39.56
2020-08-15 23:00:00,18.62,45.91,20.27,,0.55,69.92,39.99
2020-08-16 00:00:00,11.53,52.3,21.05,5.74,0.54,67.31,39.65
2020-08-16 01:00:00,9.48,35.08,20.27,2.26,0.54,64.14,39.23
2020-08-16 02:00:00,9.95,44.32,23.09,9.86,0.54,54.49,39.71
2020-08-16 03:00:00,9.61,53.82,18.89,8.64,0.54,57.42,39.42
2020-08-16 04:00:00,8.39,36.06,16.64,6.73,0.54,53.33,39.51
2020-08-16 05:00:00,7.63,38.36,14.04,5.42,0.55,48.06,39.97
2020-08-16 06:00:00,7.38,33.16,12.45,6.89,0.54,54.06,39.58
2020-08-16 07:00:00,7.7,33.48,11.97,6.24,0.54,68.71,40.04
2020-08-16 08:00:00,7.51,36.15,13.38,8.4,0.54,60.52,39.98
2020-08-16 09:00:00,7.43,37.88,19.93,8.29,0.54,55.0,39.78
2020-08-16 10:00:00,7.38,38.33,20.81,10.35,0.54,53.82,39.58
2020-08-16 11:00:00,8.52,43.09,20.69,18.49,0.54,58.47,39.85
2020-08-16 12:00:00,9.25,49.37,20.2,6.73,0.54,47.02,39.8
2020-08-16 13:00:00,13.06,60.56,14.77,4.67,0.54,40.5,39.58
2020-08-16 14:00:00,11.35,47.98,14.93,4.09,0.54,42.9,39.37
2020-08-16 15:00:00,10.26,50.35,14.73,0.9,0.54,50.57,39.73
2020-08-16 16:00:00,9.43,57.74,10.78,5.19,0.55,45.33,39.56
2020-08-16 17:00:00,8.86,60.89,8.79,4.75,0.54,44.79,39.55
2020-08-16 18:00:00,8.62,70.94,9.83,8.05,0.54,50.8,39.36
2020-08-16 19:00:00,8.5,54.53,12.16,7.64,0.54,60.81,39.7
2020-08-16 20:00:00,9.81,47.1,17.86,6.23,0.55,54.48,39.57
2020-08-16 21:00:00,9.22,52.36,28.84,3.75,0.55,47.33,39.48
2020-08-16 22:00:00,8.76,45.08,26.05,8.31,0.54,55.63,39.57
2020-08-16 23:00:00,8.53,37.5,18.98,9.06,0.55,62.83,39.55
2020-08-17 00:00:00,8.34,43.83,14.5,5.83,0.54,59.13,39.72
2020-08-17 01:00:00,9.14,45.92,16.21,5.94,0.54,54.97,39.41
2020-08-17 02:00:00,8.76,38.95,20.18,8.75,0.54,56.73,39.78
2020-08-17 03:00:00,8.18,38.04,16.31,9.12,0.54,63.27,39.81
2020-08-17 04:00:00,7.8,44.17,15.27,4.18,0.55,57.67,39.44
2020-08-17 05:00:00,7.5,49.89,18.0,2.13,0.54,56.63,39.74
2020-08-17 06:00:00,7.32,50.41,14.64,6.26,0.55,56.2,39.74
2020-08-17 07:00:00,7.03,51.23,13.45,6.67,0.54,61.88,39.55
2020-08-17 08:00:00,7.03,51.15,20.16,6.1,0.54,59.31,39.94
2020-08-17 09:00:00,7.1,51.94,19.03,5.89,0.55,52.02,39.53
2020-08-17 10:00:00,7.38,50.63,17.25,7.95,0.54,54.93,39.74
2020-08-17 11:00:00,7.7,46.78,19.26,9.76,0.54,63.57,39.84
2020-08-17 12:00:00,8.81,43.36,15.12,5.31,0.54,49.61,52.58
2020-08-17 13:00:00,11.26,59.72,17.77,6.34,0.54,58.44,103.35
2020-08-17 14:00:00,9.9,50.35,23.49,7.52,0.54,41.49,109.29
2020-08-17 15:00:00,10.12,50.41,27.62,7.54,0.54,59.75,111.27
2020-08-17 16:00:00,10.08,50.08,23.42,6.79,0.54,56.26,112.27
2020-08-17 17:00:00,9.85,46.62,18.84,8.62,0.54,48.57,112.64
