Date,City,AQI
2019-11-30,Visakhapatnam,134.0
2019-12-01,Ahmedabad,120.0
2019-12-01,Amaravati,94.0
2019-12-01,Amritsar,90.0
2019-12-01,Bengaluru,65.0
2019-12-01,Brajrajnagar,
2019-12-01,Chennai,60.0
2019-12-01,Coimbatore,44.0
2019-12-01,Delhi,259.0
2019-12-01,Gurugram,150.0
2019-12-01,Guwahati,208.0
2019-12-01,Hyderabad,127.0
2019-12-01,Jaipur,119.0
2019-12-01,Jorapokhar,165.0
2019-12-01,Kolkata,251.0
2019-12-01,Lucknow,207.0
2019-12-01,Mumbai,213.0
2019-12-01,Patna,315.0
2019-12-01,Talcher,277.0
2019-12-01,Thiruvananthapuram,59.0
2019-12-01,Visakhapatnam,102.0
2019-12-02,Ahmedabad,116.0
2019-12-02,Amaravati,98.0
2019-12-02,Amritsar,149.0
2019-12-02,Bengaluru,74.0
2019-12-02,Brajrajnagar,122.0
2019-12-02,Chennai,48.0
2019-12-02,Coimbatore,38.0
2019-12-02,Delhi,300.0
2019-12-02,Gurugram,189.0
2019-12-02,Guwahati,102.0
2019-12-02,Hyderabad,91.0
2019-12-02,Jaipur,120.0
2019-12-02,Jorapokhar,154.0
2019-12-02,Kolkata,190.0
2019-12-02,Lucknow,247.0
2019-12-02,Mumbai,165.0
2019-12-02,Patna,336.0
2019-12-02,Talcher,198.0
2019-12-02,Thiruvananthapuram,74.0
2019-12-02,Visakhapatnam,107.0
2019-12-03,Ahmedabad,110.0
2019-12-03,Amaravati,101.0
2019-12-03,Amritsar,184.0
2019-12-03,Bengaluru,72.0
2019-12-03,Brajrajnagar,131.0
2019-12-03,Chennai,58.0
2019-12-03,Coimbatore,49.0
2019-12-03,Delhi,302.0
2019-12-03,Gurugram,267.0
2019-12-03,Guwahati,183.0
2019-12-03,Hyderabad,81.0
2019-12-03,Jaipur,121.0
2019-12-03,Jorapokhar,186.0
2019-12-03,Kolkata,207.0
2019-12-03,Lucknow,279.0
2019-12-03,Mumbai,114.0
2019-12-03,Patna,376.0
2019-12-03,Talcher,246.0
2019-12-03,Thiruvananthapuram,91.0
2019-12-03,Visakhapatnam,132.0
2019-12-04,Ahmedabad,112.0
2019-12-04,Amaravati,157.0
2019-12-04,Amritsar,220.0
2019-12-04,Bengaluru,86.0
2019-12-04,Brajrajnagar,154.0
2019-12-04,Chennai,72.0
2019-12-04,Coimbatore,60.0
2019-12-04,Delhi,315.0
2019-12-04,Gurugram,282.0
2019-12-04,Guwahati,198.0
2019-12-04,Hyderabad,147.0
2019-12-04,Jaipur,136.0
2019-12-04,Jorapokhar,203.0
2019-12-04,Kolkata,248.0
2019-12-04,Lucknow,294.0
2019-12-04,Mumbai,100.0
2019-12-04,Patna,382.0
2019-12-04,Talcher,190.0
2019-12-04,Thiruvananthapuram,95.0
2019-12-04,Visakhapatnam,124.0
2019-12-05,Ahmedabad,128.0
2019-12-05,Amaravati,161.0
2019-12-05,Amritsar,144.0
2019-12-05,Bengaluru,87.0
2019-12-05,Brajrajnagar,111.0
2019-12-05,Chennai,89.0
2019-12-05,Coimbatore,71.0
2019-12-05,Delhi,393.0
2019-12-05,Gurugram,333.0
2019-12-05,Guwahati,183.0
2019-12-05,Hyderabad,172.0
2019-12-05,Jaipur,122.0
2019-12-05,Jorapokhar,186.0
2019-12-05,Kolkata,200.0
2019-12-05,Lucknow,341.0
2019-12-05,Mumbai,112.0
2019-12-05,Patna,405.0
2019-12-05,Talcher,194.0
2019-12-05,Thiruvananthapuram,87.0
2019-12-05,Visakhapatnam,138.0
2019-12-06,Ahmedabad,114.0
2019-12-06,Amaravati,186.0
2019-12-06,Amritsar,104.0
2019-12-06,Bengaluru,103.0
2019-12-06,Brajrajnagar,120.0
2019-12-06,Chennai,106.0
2019-12-06,Coimbatore,109.0
2019-12-06,Delhi,422.0
2019-12-06,Gurugram,381.0
2019-12-06,Guwahati,171.0
2019-12-06,Hyderabad,179.0
2019-12-06,Jaipur,140.0
2019-12-06,Jorapokhar,210.0
2019-12-06,Kolkata,179.0
2019-12-06,Lucknow,363.0
2019-12-06,Mumbai,182.0
2019-12-06,Patna,419.0
2019-12-06,Talcher,238.0
2019-12-06,Thiruvananthapuram,91.0
2019-12-06,Visakhapatnam,127.0
2019-12-07,Ahmedabad,153.0
2019-12-07,Amaravati,170.0
2019-12-07,Amritsar,122.0
2019-12-07,Bengaluru,88.0
2019-12-07,Brajrajnagar,128.0
2019-12-07,Chennai,75.0
2019-12-07,Coimbatore,90.0
2019-12-07,Delhi,382.0
2019-12-07,Gurugram,369.0
2019-12-07,Guwahati,206.0
2019-12-07,Hyderabad,185.0
2019-12-07,Jaipur,189.0
2019-12-07,Jorapokhar,234.0
2019-12-07,Kolkata,166.0
2019-12-07,Lucknow,342.0
2019-12-07,Mumbai,152.0
2019-12-07,Patna,342.0
2019-12-07,Talcher,258.0
2019-12-07,Thiruvananthapuram,89.0
2019-12-07,Visakhapatnam,90.0
2019-12-08,Ahmedabad,225.0
2019-12-08,Amaravati,78.0
2019-12-08,Amritsar,122.0
2019-12-08,Bengaluru,68.0
2019-12-08,Brajrajnagar,128.0
2019-12-08,Chennai,75.0
2019-12-08,Coimbatore,64.0
2019-12-08,Delhi,404.0
2019-12-08,Gurugram,373.0
2019-12-08,Guwahati,209.0
2019-12-08,Hyderabad,154.0
2019-12-08,Jaipur,153.0
2019-12-08,Jorapokhar,235.0
2019-12-08,Kolkata,201.0
2019-12-08,Lucknow,352.0
2019-12-08,Mumbai,176.0
2019-12-08,Patna,324.0
2019-12-08,Talcher,239.0
2019-12-08,Thiruvananthapuram,75.0
2019-12-08,Visakhapatnam,64.0
2019-12-09,Ahmedabad,179.0
2019-12-09,Amaravati,61.0
2019-12-09,Amritsar,192.0
2019-12-09,Bengaluru,70.0
2019-12-09,Brajrajnagar,141.0
2019-12-09,Chennai,63.0
2019-12-09,Coimbatore,63.0
2019-12-09,Delhi,370.0
2019-12-09,Gurugram,349.0
2019-12-09,Guwahati,252.0
2019-12-09,Hyderabad,118.0
2019-12-09,Jaipur,151.0
2019-12-09,Jorapokhar,205.0
2019-12-09,Kolkata,128.0
2019-12-09,Lucknow,307.0
2019-12-09,Mumbai,204.0
2019-12-09,Patna,350.0
2019-12-09,Talcher,202.0
2019-12-09,Thiruvananthapuram,80.0
2019-12-09,Visakhapatnam,63.0
2019-12-10,Ahmedabad,183.0
2019-12-10,Amaravati,84.0
2019-12-10,Amritsar,293.0
2019-12-10,Bengaluru,73.0
2019-12-10,Brajrajnagar,152.0
2019-12-10,Chennai,55.0
2019-12-10,Coimbatore,69.0
2019-12-10,Delhi,378.0
2019-12-10,Gurugram,348.0
2019-12-10,Guwahati,280.0
2019-12-10,Hyderabad,117.0
2019-12-10,Jaipur,164.0
2019-12-10,Jorapokhar,229.0
2019-12-10,Kolkata,150.0
