Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone ()
2020-01-27 11:00:00,236.69,122.56,38.49,2.28,6.2
2020-01-27 12:00:00,197.16,97.88,23.8,1.94,6.56
2020-01-27 13:00:00,136.79,64.16,14.22,1.74,8.11
2020-01-27 14:00:00,135.06,62.25,11.68,1.68,7.61
2020-01-27 15:00:00,109.93,52.48,8.38,1.58,6.53
2020-01-27 16:00:00,95.17,65.84,7.34,1.53,6.26
2020-01-27 17:00:00,96.83,60.14,8.14,1.53,5.99
2020-01-27 18:00:00,100.1,60.36,9.72,1.56,5.99
2020-01-27 19:00:00,114.67,62.97,19.93,1.89,5.89
2020-01-27 20:00:00,243.33,120.69,25.83,2.23,6.14
2020-01-27 21:00:00,274.51,153.92,33.23,2.6,6.41
2020-01-27 22:00:00,292.48,211.05,33.87,2.72,6.18
2020-01-27 23:00:00,296.31,205.39,46.24,3.06,6.33
2020-01-28 00:00:00,341.21,194.76,26.3,2.54,6.93
2020-01-28 01:00:00,292.47,160.54,16.9,2.24,6.81
2020-01-28 02:00:00,258.6,135.06,16.47,2.22,6.41
2020-01-28 03:00:00,228.38,134.48,29.49,2.22,6.13
2020-01-28 04:00:00,140.7,113.26,32.06,2.01,6.26
2020-01-28 05:00:00,130.37,104.65,21.84,1.97,5.97
2020-01-28 06:00:00,115.47,86.17,12.93,1.81,6.14
2020-01-28 07:00:00,63.96,60.69,10.6,1.67,6.02
2020-01-28 08:00:00,73.37,50.03,16.77,1.74,6.29
2020-01-28 09:00:00,84.78,62.82,13.39,1.68,6.53
2020-01-28 10:00:00,93.16,51.67,11.6,1.69,6.18
2020-01-28 11:00:00,117.28,67.66,11.46,1.86,6.38
2020-01-28 12:00:00,160.48,90.79,12.56,1.93,6.1
2020-01-28 13:00:00,183.83,102.44,12.43,1.93,6.2
2020-01-28 14:00:00,183.37,100.51,11.52,1.91,6.08
2020-01-28 15:00:00,174.35,99.9,10.69,1.96,6.17
2020-01-28 16:00:00,163.76,116.99,10.18,1.92,6.15
2020-01-28 17:00:00,174.32,128.28,9.78,1.86,6.27
2020-01-28 18:00:00,177.86,116.9,10.03,1.88,6.02
2020-01-28 19:00:00,170.61,119.51,12.55,1.94,6.39
2020-01-28 20:00:00,197.63,129.37,13.52,2.09,6.07
2020-01-28 21:00:00,165.74,128.62,12.67,2.0,6.57
2020-01-28 22:00:00,117.29,122.94,12.17,2.06,6.89
2020-01-28 23:00:00,142.36,110.66,11.79,1.98,6.38
2020-01-29 00:00:00,142.02,90.81,13.56,1.96,10.17
2020-01-29 01:00:00,129.31,79.59,26.08,2.06,7.52
2020-01-29 02:00:00,124.87,67.67,12.46,1.73,6.35
2020-01-29 03:00:00,99.79,59.28,9.37,1.66,6.69
2020-01-29 04:00:00,81.87,53.55,14.85,1.65,6.75
2020-01-29 05:00:00,72.31,44.22,13.24,1.64,6.25
2020-01-29 06:00:00,63.4,33.9,10.35,1.71,6.16
2020-01-29 07:00:00,59.67,40.64,9.7,1.62,6.3
2020-01-29 08:00:00,72.05,46.74,13.0,1.77,6.25
2020-01-29 09:00:00,60.82,40.12,27.18,1.79,6.25
2020-01-29 10:00:00,94.25,59.22,64.45,2.07,5.74
2020-01-29 11:00:00,99.97,62.02,42.68,1.89,6.45
2020-01-29 12:00:00,72.22,29.2,26.64,1.72,5.87
2020-01-29 13:00:00,63.75,29.49,21.0,1.71,6.28
2020-01-29 14:00:00,67.91,35.01,13.29,1.56,5.87
2020-01-29 15:00:00,50.11,25.16,11.36,1.51,7.29
2020-01-29 16:00:00,66.52,22.21,9.96,1.47,6.9
2020-01-29 17:00:00,65.63,20.16,10.3,1.45,6.08
2020-01-29 18:00:00,62.03,33.68,10.03,1.46,6.11
2020-01-29 19:00:00,80.68,47.46,12.57,1.62,6.15
2020-01-29 20:00:00,88.59,55.8,16.94,1.73,6.27
2020-01-29 21:00:00,123.17,68.78,22.95,1.99,6.28
2020-01-29 22:00:00,150.86,92.59,35.09,2.2,6.09
2020-01-29 23:00:00,179.94,97.12,44.46,2.22,6.08
2020-01-30 00:00:00,196.25,103.76,42.81,2.65,6.15
2020-01-30 01:00:00,218.92,117.38,50.21,2.8,6.15
2020-01-30 02:00:00,228.94,106.62,47.91,2.39,6.17
2020-01-30 03:00:00,195.22,85.82,35.68,2.06,6.05
2020-01-30 04:00:00,135.86,68.8,23.91,1.82,5.81
2020-01-30 05:00:00,162.09,93.85,22.75,1.84,6.16
2020-01-30 06:00:00,154.24,84.14,24.45,1.83,5.83
2020-01-30 07:00:00,104.89,56.99,22.91,1.74,6.31
2020-01-30 08:00:00,104.44,58.36,43.43,1.78,6.03
2020-01-30 09:00:00,150.46,60.47,49.32,2.0,6.43
2020-01-30 10:00:00,196.34,87.81,49.21,2.16,6.07
2020-01-30 11:00:00,139.76,94.76,27.2,1.83,6.04
2020-01-30 12:00:00,102.2,66.62,18.63,1.73,6.25
2020-01-30 13:00:00,78.01,45.44,14.16,1.6,6.21
2020-01-30 14:00:00,67.19,37.8,11.44,1.6,6.24
2020-01-30 15:00:00,65.06,34.88,9.54,1.55,6.18
2020-01-30 16:00:00,62.58,38.37,9.41,1.37,5.94
2020-01-30 17:00:00,69.39,33.94,8.56,1.33,6.08
2020-01-30 18:00:00,48.7,26.37,8.78,1.43,6.41
2020-01-30 19:00:00,61.67,34.7,14.42,1.61,6.24
2020-01-30 20:00:00,109.21,56.81,32.84,1.94,6.85
2020-01-30 21:00:00,155.28,82.56,28.34,2.1,6.78
2020-01-30 22:00:00,167.39,89.82,30.55,2.05,6.14
2020-01-30 23:00:00,147.25,87.47,28.21,2.01,6.6
2020-01-31 00:00:00,162.25,86.88,30.59,2.16,6.1
2020-01-31 01:00:00,157.47,81.06,23.68,1.92,6.11
2020-01-31 02:00:00,153.86,72.88,21.28,1.83,6.12
2020-01-31 03:00:00,131.88,67.08,21.28,1.76,6.4
2020-01-31 04:00:00,136.72,66.58,33.45,1.72,6.41
2020-01-31 05:00:00,122.23,61.47,40.2,1.81,6.72
2020-01-31 06:00:00,112.92,62.45,24.08,1.73,6.32
2020-01-31 07:00:00,110.37,55.7,30.76,1.77,6.16
2020-01-31 08:00:00,118.04,68.24,33.61,1.84,6.17
2020-01-31 09:00:00,142.89,71.08,38.75,2.01,5.87
2020-01-31 10:00:00,162.71,70.58,35.14,1.94,6.18
2020-01-31 11:00:00,162.21,61.5,21.56,1.78,6.12
2020-01-31 12:00:00,88.91,33.58,16.55,1.55,6.31
2020-01-31 13:00:00,60.99,25.41,13.8,1.52,6.31
2020-01-31 14:00:00,55.25,33.13,12.25,1.52,6.17
2020-01-31 15:00:00,68.96,42.72,12.13,1.55,6.26
2020-01-31 16:00:00,75.7,44.15,13.92,1.54,6.04
2020-01-31 17:00:00,76.1,52.01,20.3,1.56,5.92
2020-01-31 18:00:00,82.79,44.28,12.46,1.54,5.78
2020-01-31 19:00:00,71.68,45.33,12.92,1.6,6.02
2020-01-31 20:00:00,103.7,66.49,14.39,1.75,6.27
2020-01-31 21:00:00,132.54,90.47,21.59,2.11,5.78
2020-01-31 22:00:00,243.79,147.92,35.11,3.2,6.1
2020-01-31 23:00:00,316.95,173.22,56.35,3.58,6.15
2020-02-01 00:00:00,291.31,160.11,63.84,3.38,6.11
2020-02-01 01:00:00,243.16,119.94,95.26,3.88,5.99
2020-02-01 02:00:00,253.76,107.29,87.71,3.72,6.03
2020-02-01 03:00:00,210.07,93.64,65.01,3.23,6.11
2020-02-01 04:00:00,183.64,87.0,60.32,3.02,6.17
2020-02-01 05:00:00,190.14,86.36,57.72,2.77,6.3
2020-02-01 06:00:00,151.2,85.14,47.22,2.56,6.46
2020-02-01 07:00:00,155.52,98.26,43.42,2.38,6.29
2020-02-01 08:00:00,192.07,100.08,58.14,2.37,6.35
2020-02-01 09:00:00,180.58,88.91,58.24,2.41,6.17
2020-02-01 10:00:00,191.11,103.75,71.15,2.41,6.14
2020-02-01 11:00:00,176.4,93.19,43.11,2.21,6.34
2020-02-01 12:00:00,151.98,75.39,29.21,1.91,6.31
2020-02-01 13:00:00,98.02,45.91,17.39,1.65,6.1
2020-02-01 14:00:00,92.23,33.0,12.52,1.55,6.13
2020-02-01 15:00:00,70.97,26.57,10.0,1.51,6.1
2020-02-01 16:00:00,81.19,32.21,11.94,1.58,6.2
2020-02-01 17:00:00,94.19,43.93,9.28,1.59,6.26
2020-02-01 18:00:00,85.01,46.44,9.27,1.61,6.05
2020-02-01 19:00:00,81.56,46.83,13.49,1.73,6.13
2020-02-01 20:00:00,135.05,68.48,18.14,2.07,6.07
2020-02-01 21:00:00,201.13,113.86,25.63,2.51,5.78
2020-02-01 22:00:00,202.07,135.15,29.05,2.62,6.09
2020-02-01 23:00:00,189.45,113.49,33.93,2.73,6.03
2020-02-02 00:00:00,185.75,90.74,31.13,2.58,6.41
2020-02-02 01:00:00,160.83,76.07,26.58,2.51,6.11
2020-02-02 02:00:00,170.68,75.66,34.42,2.46,6.15
2020-02-02 03:00:00,153.57,72.66,23.05,2.19,6.16
2020-02-02 04:00:00,156.86,78.98,22.82,1.84,6.13
2020-02-02 05:00:00,155.65,84.33,38.62,1.79,5.97
2020-02-02 06:00:00,147.73,76.51,45.03,1.92,6.47
2020-02-02 07:00:00,148.43,82.28,35.34,1.89,5.92
2020-02-02 08:00:00,137.52,73.63,25.38,1.86,6.17
2020-02-02 09:00:00,179.92,67.28,28.41,1.97,6.2
2020-02-02 10:00:00,181.9,99.44,34.3,1.77,6.08
2020-02-02 11:00:00,119.25,78.11,16.09,1.65,6.21
2020-02-02 12:00:00,123.58,77.66,17.03,1.61,6.14
2020-02-02 13:00:00,127.66,83.2,18.76,1.6,6.09
2020-02-02 14:00:00,112.79,66.79,16.28,1.49,6.03
2020-02-02 15:00:00,82.15,48.93,17.45,1.43,5.94
2020-02-02 16:00:00,75.97,42.45,9.64,1.42,6.03
2020-02-02 17:00:00,65.6,35.66,8.26,1.4,5.96
2020-02-02 18:00:00,64.91,40.19,8.37,1.42,6.14
2020-02-02 19:00:00,103.72,49.42,10.59,1.55,6.03
2020-02-02 20:00:00,128.96,69.23,13.05,1.65,6.08
2020-02-02 21:00:00,142.85,84.65,14.99,1.81,6.17
2020-02-02 22:00:00,182.6,119.7,17.19,1.88,6.3
2020-02-02 23:00:00,201.8,113.66,22.55,2.05,6.06
2020-02-03 00:00:00,189.42,110.47,20.82,1.99,6.39
2020-02-03 01:00:00,196.24,105.19,23.53,2.11,6.08
2020-02-03 02:00:00,207.87,98.33,17.04,1.92,6.72
2020-02-03 03:00:00,173.73,90.94,13.07,1.87,6.72
2020-02-03 04:00:00,174.28,92.69,12.73,1.86,6.16
2020-02-03 05:00:00,170.79,93.31,14.91,1.88,6.32
2020-02-03 06:00:00,201.38,106.25,42.79,2.16,6.18
2020-02-03 07:00:00,230.95,105.01,43.43,2.08,6.23
2020-02-03 08:00:00,276.06,146.8,46.88,2.18,6.04
2020-02-03 09:00:00,255.76,148.07,60.23,2.26,6.14
2020-02-03 10:00:00,260.0,133.26,55.06,2.17,6.35
2020-02-03 11:00:00,231.42,109.37,26.93,1.79,6.22
2020-02-03 12:00:00,183.19,63.16,21.24,1.6,5.98
2020-02-03 13:00:00,144.39,53.6,14.57,1.38,6.12
2020-02-03 14:00:00,87.1,29.11,12.15,1.28,6.58
2020-02-03 15:00:00,79.91,24.94,11.14,1.18,6.07
2020-02-03 16:00:00,81.63,30.31,10.2,1.11,7.95
2020-02-03 17:00:00,78.28,28.38,11.16,1.11,6.18
2020-02-03 18:00:00,81.79,32.08,17.66,1.05,6.62
2020-02-03 19:00:00,114.82,49.8,21.03,1.13,6.24
2020-02-03 20:00:00,148.22,71.8,19.37,1.35,6.25
2020-02-03 21:00:00,204.63,93.45,23.61,1.84,6.31
2020-02-03 22:00:00,333.56,180.42,27.63,2.02,6.19
2020-02-03 23:00:00,280.88,150.23,33.88,2.41,6.32
2020-02-04 00:00:00,250.91,133.76,31.44,1.8,6.38
2020-02-04 01:00:00,174.71,89.1,21.92,1.32,6.55
2020-02-04 02:00:00,186.25,93.59,16.79,1.42,6.21
2020-02-04 03:00:00,248.99,141.19,14.63,1.49,6.15
2020-02-04 04:00:00,212.5,118.73,16.55,1.34,6.45
2020-02-04 05:00:00,202.87,103.99,13.95,1.64,6.22
2020-02-04 06:00:00,221.64,144.34,13.65,1.43,6.44
2020-02-04 07:00:00,203.96,117.87,15.66,1.12,7.21
2020-02-04 08:00:00,178.17,100.88,12.8,1.12,6.17
2020-02-04 09:00:00,191.02,103.97,30.01,1.36,6.24
2020-02-04 10:00:00,255.31,126.86,20.71,1.31,6.08
2020-02-04 11:00:00,184.47,102.43,11.66,1.08,6.14
2020-02-04 12:00:00,119.14,58.12,9.96,0.92,6.15
2020-02-04 13:00:00,116.37,45.67,9.21,0.85,6.17
2020-02-04 14:00:00,115.21,44.95,8.68,0.83,6.21
2020-02-04 15:00:00,103.58,44.48,8.33,0.79,6.23
2020-02-04 16:00:00,106.05,43.79,8.33,0.77,6.57
2020-02-04 17:00:00,99.42,50.67,8.42,0.84,6.23
2020-02-04 18:00:00,122.08,48.12,9.96,0.98,6.21
2020-02-04 19:00:00,151.63,58.53,11.69,1.01,6.39
2020-02-04 20:00:00,156.91,80.66,13.2,0.9,6.68
2020-02-04 21:00:00,187.23,101.43,18.77,1.17,6.17
2020-02-04 22:00:00,270.25,146.99,21.9,1.45,6.09
2020-02-04 23:00:00,308.22,165.16,25.02,1.93,6.08
2020-02-05 00:00:00,404.93,209.83,45.4,2.72,6.19
2020-02-05 01:00:00,366.94,167.58,41.93,2.46,6.34
2020-02-05 02:00:00,340.23,144.03,33.92,2.1,6.34
2020-02-05 03:00:00,267.47,130.85,11.52,1.66,6.31
2020-02-05 04:00:00,222.52,129.45,8.03,1.51,6.24
2020-02-05 05:00:00,210.01,141.05,7.95,1.48,6.27
2020-02-05 06:00:00,226.93,127.04,7.17,1.29,7.18
2020-02-05 07:00:00,196.95,108.36,7.24,1.79,6.46
2020-02-05 08:00:00,276.51,146.74,11.08,1.6,6.6
2020-02-05 09:00:00,303.72,151.32,25.37,2.19,6.2
2020-02-05 10:00:00,495.44,210.47,16.69,2.03,6.24
2020-02-05 11:00:00,346.51,159.24,11.7,1.41,6.17
2020-02-05 12:00:00,187.22,120.63,8.74,1.08,6.94
2020-02-05 13:00:00,112.9,85.66,8.1,1.23,56.25
2020-02-05 14:00:00,107.29,80.67,7.06,1.16,77.67
2020-02-05 15:00:00,140.56,75.18,7.56,1.1,44.91
2020-02-05 16:00:00,135.42,73.13,10.85,1.08,75.34
2020-02-05 17:00:00,122.62,59.39,12.16,1.1,69.79
2020-02-05 18:00:00,112.1,56.42,11.3,1.18,64.16
2020-02-05 19:00:00,103.86,53.53,11.45,1.23,55.81
2020-02-05 20:00:00,149.27,75.87,15.96,1.68,30.33
2020-02-05 21:00:00,208.73,92.83,17.65,1.8,16.97
2020-02-05 22:00:00,199.86,114.24,17.85,1.97,11.82
2020-02-05 23:00:00,250.68,118.6,20.34,2.22,7.79
2020-02-06 00:00:00,240.87,115.69,18.89,2.01,7.17
2020-02-06 01:00:00,200.71,95.79,19.57,1.79,7.36
2020-02-06 02:00:00,197.57,85.57,17.76,1.6,6.69
2020-02-06 03:00:00,174.66,75.91,16.57,1.53,6.81
2020-02-06 04:00:00,151.68,77.97,15.72,1.47,6.81
2020-02-06 05:00:00,157.36,74.14,16.73,1.44,6.59
2020-02-06 06:00:00,145.99,70.54,16.57,1.4,6.63
2020-02-06 07:00:00,170.71,79.31,15.81,1.35,6.77
2020-02-06 08:00:00,232.6,94.15,20.08,1.4,7.26
2020-02-06 09:00:00,265.67,138.43,24.33,1.57,9.63
2020-02-06 10:00:00,256.93,138.44,21.0,1.44,26.98
2020-02-06 11:00:00,160.44,85.19,15.43,1.23,48.61
2020-02-06 12:00:00,126.14,60.81,12.57,1.0,60.68
2020-02-06 13:00:00,139.08,57.26,11.36,0.62,64.73
2020-02-06 14:00:00,130.72,75.14,10.61,0.45,68.87
2020-02-06 15:00:00,104.66,64.3,15.6,0.43,78.99
2020-02-06 16:00:00,96.99,54.99,10.25,0.43,81.26
2020-02-06 17:00:00,95.37,56.03,10.65,0.46,82.02
2020-02-06 18:00:00,96.71,56.32,11.26,0.48,75.75
2020-02-06 19:00:00,95.04,54.9,11.44,0.54,57.15
2020-02-06 20:00:00,108.39,76.07,12.99,0.67,38.56
2020-02-06 21:00:00,188.0,106.43,16.52,1.01,17.09
2020-02-06 22:00:00,263.7,167.91,19.18,1.42,5.2
2020-02-06 23:00:00,264.79,159.51,21.54,1.61,4.8
2020-02-07 00:00:00,252.97,153.86,24.0,1.99,6.05
2020-02-07 01:00:00,305.28,159.61,35.44,2.75,4.97
2020-02-07 02:00:00,367.84,165.78,39.94,2.94,4.93
2020-02-07 03:00:00,293.19,147.17,38.4,2.98,5.04
2020-02-07 04:00:00,261.22,175.0,33.37,2.34,4.67
2020-02-07 05:00:00,221.59,165.25,27.66,1.82,5.02
2020-02-07 06:00:00,261.98,152.01,29.72,1.92,5.19
2020-02-07 07:00:00,311.61,185.26,37.45,2.55,5.81
2020-02-07 08:00:00,256.57,151.78,23.14,1.54,5.16
2020-02-07 09:00:00,344.4,162.11,41.51,2.09,6.39
2020-02-07 10:00:00,379.0,175.98,38.03,2.05,8.38
2020-02-07 11:00:00,296.14,218.08,18.61,1.18,40.45
2020-02-07 12:00:00,213.67,155.68,12.97,0.84,75.45
2020-02-07 13:00:00,191.15,101.63,17.23,0.94,73.48
2020-02-07 14:00:00,171.86,89.41,11.7,0.68,86.91
2020-02-07 15:00:00,134.23,74.9,12.1,0.77,95.41
2020-02-07 16:00:00,166.02,97.21,10.56,0.62,92.51
2020-02-07 17:00:00,115.13,65.88,9.83,0.57,89.91
2020-02-07 18:00:00,106.23,69.42,10.51,0.59,80.63
2020-02-07 19:00:00,118.83,67.62,11.49,0.73,64.34
2020-02-07 20:00:00,162.08,114.62,13.96,1.06,36.16
2020-02-07 21:00:00,174.72,115.57,15.66,1.03,21.58
2020-02-07 22:00:00,197.56,122.59,17.93,1.4,10.37
2020-02-07 23:00:00,224.85,132.62,20.49,1.73,5.52
2020-02-08 00:00:00,234.43,129.06,21.67,1.68,4.77
2020-02-08 01:00:00,254.6,125.46,26.66,1.41,4.78
2020-02-08 02:00:00,302.17,129.0,20.66,1.27,4.41
2020-02-08 03:00:00,280.79,133.54,23.74,1.32,4.96
2020-02-08 04:00:00,306.67,134.68,25.17,1.28,4.35
2020-02-08 05:00:00,339.9,153.21,29.49,1.22,5.49
2020-02-08 06:00:00,253.06,128.24,14.22,0.84,23.84
2020-02-08 07:00:00,223.21,160.83,12.93,0.85,23.93
2020-02-08 08:00:00,211.0,159.53,16.12,1.01,6.43
2020-02-08 09:00:00,243.42,158.34,19.73,1.15,11.28
2020-02-08 10:00:00,271.38,144.78,15.69,0.96,35.34
2020-02-08 11:00:00,171.69,76.25,12.35,0.8,61.58
2020-02-08 12:00:00,159.89,68.67,11.42,0.75,72.39
2020-02-08 13:00:00,147.14,62.78,10.88,0.72,81.44
2020-02-08 14:00:00,137.77,77.51,10.17,0.69,88.16
2020-02-08 15:00:00,135.05,104.05,10.12,0.75,94.75
2020-02-08 16:00:00,122.2,85.15,9.55,0.67,89.62
2020-02-08 17:00:00,150.42,86.76,9.49,0.64,87.81
2020-02-08 18:00:00,123.2,82.92,9.76,0.71,83.69
2020-02-08 19:00:00,124.83,86.98,11.76,0.84,65.0
2020-02-08 20:00:00,162.29,117.66,14.29,1.06,40.82
2020-02-08 21:00:00,204.75,153.24,14.72,1.15,27.25
2020-02-08 22:00:00,234.32,169.64,18.1,1.6,13.87
2020-02-08 23:00:00,266.09,171.37,17.24,1.57,9.46
2020-02-09 00:00:00,242.61,151.53,16.09,1.43,8.73
2020-02-09 01:00:00,226.12,137.84,17.26,1.42,6.63
2020-02-09 02:00:00,224.67,114.15,17.11,1.25,5.2
2020-02-09 03:00:00,201.31,100.31,13.99,1.1,7.81
2020-02-09 04:00:00,205.85,107.71,14.26,1.12,6.42
2020-02-09 05:00:00,211.93,112.89,13.51,1.06,5.45
2020-02-09 06:00:00,232.09,148.04,12.29,1.19,5.3
2020-02-09 07:00:00,325.22,168.36,11.66,1.25,4.97
2020-02-09 08:00:00,290.86,145.88,12.52,1.26,5.68
2020-02-09 09:00:00,259.74,140.08,21.22,1.39,8.94
2020-02-09 10:00:00,215.02,110.89,25.05,1.29,18.51
2020-02-09 11:00:00,221.88,92.68,15.53,0.9,51.16
2020-02-09 12:00:00,159.08,77.04,14.07,0.84,66.42
2020-02-09 13:00:00,142.7,76.42,10.38,0.8,86.69
2020-02-09 14:00:00,132.32,88.45,10.29,0.78,93.2
2020-02-09 15:00:00,127.27,91.44,10.35,0.75,94.96
2020-02-09 16:00:00,123.09,76.64,9.84,0.74,99.42
2020-02-09 17:00:00,124.08,82.14,9.9,0.75,100.01
2020-02-09 18:00:00,106.97,71.72,9.94,0.73,92.42
2020-02-09 19:00:00,150.02,79.71,11.29,0.95,66.07
2020-02-09 20:00:00,188.27,106.11,13.25,1.1,53.49
2020-02-09 21:00:00,188.86,120.52,14.37,1.3,41.24
2020-02-09 22:00:00,237.75,168.13,15.85,1.49,22.32
2020-02-09 23:00:00,257.31,176.46,15.59,1.52,11.83
2020-02-10 00:00:00,292.74,187.3,18.3,1.82,5.09
2020-02-10 01:00:00,312.8,177.61,17.65,1.77,5.05
2020-02-10 02:00:00,338.97,177.18,18.61,1.94,4.87
2020-02-10 03:00:00,297.52,164.92,18.68,1.68,4.73
2020-02-10 04:00:00,254.45,185.2,17.7,1.76,5.19
2020-02-10 05:00:00,278.44,158.37,16.18,1.54,4.37
2020-02-10 06:00:00,305.53,149.9,16.82,1.5,4.57
2020-02-10 07:00:00,340.17,161.5,22.33,1.56,5.6
2020-02-10 08:00:00,361.08,170.97,27.28,1.71,5.46
2020-02-10 09:00:00,478.16,185.58,31.31,2.06,6.43
2020-02-10 10:00:00,466.26,246.75,24.5,1.62,22.12
2020-02-10 11:00:00,250.35,179.05,14.36,1.16,58.65
2020-02-10 12:00:00,223.16,125.86,12.14,1.0,76.59
2020-02-10 13:00:00,163.02,87.82,10.94,0.89,85.18
2020-02-10 14:00:00,148.98,78.62,10.51,0.91,89.51
2020-02-10 15:00:00,161.83,89.68,9.8,0.88,92.36
2020-02-10 16:00:00,136.91,73.25,9.74,0.77,91.42
2020-02-10 17:00:00,134.03,77.34,9.63,0.76,89.27
2020-02-10 18:00:00,127.42,64.75,9.57,0.78,86.24
2020-02-10 19:00:00,174.28,96.68,10.07,0.92,65.11
2020-02-10 20:00:00,194.79,138.23,11.66,1.12,45.28
2020-02-10 21:00:00,230.48,162.79,15.21,1.49,19.22
2020-02-10 22:00:00,240.31,184.86,17.77,1.73,9.35
2020-02-10 23:00:00,253.07,174.84,19.47,2.11,4.83
2020-02-11 00:00:00,292.16,172.06,20.13,2.51,5.66
2020-02-11 01:00:00,351.15,193.36,20.81,2.62,4.85
2020-02-11 02:00:00,364.89,197.78,25.68,2.91,5.14
2020-02-11 03:00:00,322.7,187.33,23.69,3.03,4.77
2020-02-11 04:00:00,258.12,190.31,23.16,3.08,4.45
2020-02-11 05:00:00,287.39,170.09,26.59,3.58,4.8
2020-02-11 06:00:00,306.59,173.28,32.29,3.52,4.67
2020-02-11 07:00:00,302.8,171.28,29.62,3.16,4.28
2020-02-11 08:00:00,265.15,162.81,26.24,2.99,5.26
2020-02-11 09:00:00,294.74,177.91,29.23,3.1,6.13
2020-02-11 10:00:00,393.25,264.91,29.85,3.04,15.45
2020-02-11 11:00:00,366.79,258.96,25.43,2.1,35.66
2020-02-11 12:00:00,278.1,152.73,15.13,1.27,71.03
2020-02-11 13:00:00,197.86,103.94,14.49,1.17,74.59
2020-02-11 14:00:00,156.33,75.53,10.71,1.05,88.89
2020-02-11 15:00:00,115.09,62.94,10.31,1.01,89.18
2020-02-11 16:00:00,136.26,69.76,10.37,1.04,92.47
2020-02-11 17:00:00,116.25,89.4,9.69,1.02,96.98
2020-02-11 18:00:00,116.56,85.79,9.67,1.02,89.6
2020-02-11 19:00:00,117.71,72.04,10.73,1.13,67.88
2020-02-11 20:00:00,170.43,105.71,12.86,1.4,49.03
2020-02-11 21:00:00,217.34,143.8,16.16,1.69,28.63
2020-02-11 22:00:00,275.54,181.68,19.43,1.91,9.21
2020-02-11 23:00:00,277.4,175.67,22.84,2.4,5.47
2020-02-12 00:00:00,321.04,188.47,23.61,2.67,4.85
2020-02-12 01:00:00,356.4,184.33,23.0,2.89,5.39
2020-02-12 02:00:00,357.81,180.36,24.14,2.71,6.47
2020-02-12 03:00:00,369.62,170.94,27.27,2.56,4.97
2020-02-12 04:00:00,384.8,210.03,22.99,2.31,5.19
2020-02-12 05:00:00,443.39,207.39,22.51,2.01,6.84
2020-02-12 06:00:00,427.85,187.14,23.23,1.95,4.62
2020-02-12 07:00:00,509.93,214.39,21.96,1.98,4.81
2020-02-12 08:00:00,495.19,207.33,22.56,1.81,5.56
2020-02-12 09:00:00,339.82,204.24,22.58,1.62,9.51
2020-02-12 10:00:00,360.75,199.9,19.03,1.64,27.56
2020-02-12 11:00:00,264.02,157.85,14.49,1.34,56.07
2020-02-12 12:00:00,194.67,115.81,11.71,1.24,75.48
2020-02-12 13:00:00,198.1,114.9,10.76,1.07,82.75
2020-02-12 14:00:00,188.8,92.1,10.39,0.94,83.9
2020-02-12 15:00:00,201.03,87.62,9.67,0.89,87.99
2020-02-12 16:00:00,164.53,66.4,9.01,0.85,92.96
2020-02-12 17:00:00,149.62,93.66,9.42,0.91,94.25
2020-02-12 18:00:00,154.11,108.99,9.43,0.79,86.26
2020-02-12 19:00:00,157.64,105.54,11.69,0.86,68.66
2020-02-12 20:00:00,186.92,116.09,14.9,1.09,44.42
2020-02-12 21:00:00,245.33,137.7,14.9,1.16,42.11
2020-02-12 22:00:00,207.73,138.38,13.13,0.99,48.46
2020-02-12 23:00:00,155.7,101.01,11.53,0.86,55.99
2020-02-13 00:00:00,133.04,91.16,9.88,0.77,58.47
2020-02-13 01:00:00,141.0,91.6,9.85,0.73,49.27
2020-02-13 02:00:00,142.84,80.62,9.78,0.74,44.31
2020-02-13 03:00:00,122.84,73.15,9.27,0.71,50.9
2020-02-13 04:00:00,98.62,63.76,9.35,0.68,52.43
2020-02-13 05:00:00,102.75,64.1,9.16,0.71,44.99
2020-02-13 06:00:00,100.82,67.29,9.1,0.83,37.8
2020-02-13 07:00:00,103.35,73.4,10.47,0.87,27.67
2020-02-13 08:00:00,112.4,68.42,11.27,0.91,23.53
2020-02-13 09:00:00,109.28,66.21,12.35,0.99,25.35
2020-02-13 10:00:00,122.71,58.88,12.96,0.98,33.38
2020-02-13 11:00:00,159.63,88.01,12.32,0.96,46.8
2020-02-13 12:00:00,159.21,74.86,11.12,0.88,58.53
2020-02-13 13:00:00,135.15,64.82,10.44,0.85,66.28
2020-02-13 14:00:00,123.16,54.08,9.89,0.8,70.67
2020-02-13 15:00:00,119.68,46.42,9.34,0.78,71.97
2020-02-13 16:00:00,137.49,48.52,9.4,0.78,69.74
2020-02-13 17:00:00,136.84,48.89,9.09,0.79,67.59
2020-02-13 18:00:00,110.09,46.21,9.12,0.81,68.62
2020-02-13 19:00:00,110.5,47.49,10.19,0.89,59.52
2020-02-13 20:00:00,117.8,50.26,11.31,0.98,47.22
2020-02-13 21:00:00,133.89,79.48,10.32,0.9,53.25
2020-02-13 22:00:00,117.8,65.1,10.54,1.0,61.82
2020-02-13 23:00:00,104.52,61.06,10.57,1.07,57.26
2020-02-14 00:00:00,113.31,77.4,9.65,1.07,59.0
