Datetime,PM10 (ug/m3),PM2.5 (ug/m3),NOx (ppb),CO (mg/m3),Ozone ()
2020-05-16 03:00:00,153.04,118.92,341.5,,21.43
2020-05-16 04:00:00,125.83,118.41,345.79,,22.1
2020-05-16 05:00:00,130.27,95.87,315.47,,27.41
2020-05-16 06:00:00,89.66,81.48,268.06,,26.71
2020-05-16 07:00:00,84.87,74.24,306.42,,23.83
2020-05-16 08:00:00,105.03,76.63,266.84,,32.92
2020-05-16 09:00:00,145.13,86.74,289.8,,45.96
2020-05-16 10:00:00,175.63,85.27,321.48,,55.25
2020-05-16 11:00:00,158.96,69.81,369.41,,56.4
2020-05-16 12:00:00,119.78,,301.65,0.41,56.61
2020-05-16 13:00:00,,,127.29,0.26,51.12
2020-05-16 14:00:00,,,29.64,0.31,52.43
2020-05-16 15:00:00,,2.5,28.37,0.39,58.3
2020-05-16 16:00:00,,41.89,32.83,0.4,55.95
2020-05-16 17:00:00,3.26,77.1,29.62,0.46,57.44
2020-05-16 18:00:00,34.64,68.09,31.32,0.49,50.87
2020-05-16 19:00:00,43.28,68.29,45.22,0.51,38.64
2020-05-16 20:00:00,75.25,74.42,37.94,0.58,35.57
2020-05-16 21:00:00,92.91,72.34,31.58,0.63,33.6
2020-05-16 22:00:00,103.44,62.57,34.0,0.7,28.3
2020-05-16 23:00:00,110.87,67.46,24.73,0.73,26.48
2020-05-17 00:00:00,103.19,66.05,26.54,0.75,20.35
2020-05-17 01:00:00,111.27,61.38,27.35,0.83,18.43
2020-05-17 02:00:00,113.92,77.5,28.45,0.94,12.97
2020-05-17 03:00:00,144.06,91.24,31.65,0.96,11.26
2020-05-17 04:00:00,136.86,90.2,30.55,0.99,10.13
2020-05-17 05:00:00,178.25,101.47,32.95,1.12,9.41
2020-05-17 06:00:00,202.98,150.77,34.32,1.2,7.08
2020-05-17 07:00:00,215.39,160.84,32.71,1.23,6.48
2020-05-17 08:00:00,218.83,141.12,37.66,1.3,14.55
2020-05-17 09:00:00,277.38,183.9,35.28,1.18,38.04
2020-05-17 10:00:00,178.56,131.1,26.52,0.84,52.2
2020-05-17 11:00:00,107.91,89.25,25.61,0.78,57.21
